Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
109,R,108,H R 1055,7-Apr-2003,6:51 PM,On Motion to Suspend the Rules and Pass,“Dr. Roswell N. Beck Post Office Building” Designation Act,Passed,203,0,0,25,179,0,0,26,1,0,0,0,383,0,0,51
110,R,108,H RES 127,7-Apr-2003,6:58 PM,"On Motion to Suspend the Rules and Agree, as Amended",Expressing the sense of the House of Representatives that a month should be designated as “Financial Literacy for Youth Month”.,Passed,203,0,0,25,176,1,0,28,1,0,0,0,380,1,0,53
111,R,108,H R 1368,7-Apr-2003,7:18 PM,"On Motion to Suspend the Rules and Pass, as Amended",“Norman Shumway Post Office Building” Designation Act,Passed,200,0,0,28,179,0,0,26,1,0,0,0,380,0,0,54
112,R,108,H R 1559,8-Apr-2003,1:32 PM,On Motion to Instruct Conferees,Emergency Wartime Supplemental Appropriations Act,Passed,67,150,0,11,197,0,0,8,1,0,0,0,265,150,0,19
113,R,108,H R 273,8-Apr-2003,1:40 PM,On Motion to Suspend the Rules and Pass,Nutria Eradication and Control Act,Passed,187,30,0,11,197,0,0,8,1,0,0,0,385,30,0,19
114,R,108,H R 108,8-Apr-2003,1:47 PM,On Motion to Suspend the Rules and Pass,To Amend the Education Land Grant Act to Require the Secretary of Agriculture to Pay the Costs of Environmental Reviews with Respect to Conveyances under that Act,Passed,209,8,0,11,196,0,0,9,1,0,0,0,406,8,0,20
115,R,108,S 380,8-Apr-2003,5:24 PM,On Passage,Postal Civil Service Retirement System Funding Reform Act of 2003,Passed,223,0,0,5,200,0,0,5,1,0,0,0,424,0,0,10
116,R,108,H R 205,8-Apr-2003,5:32 PM,On Motion to Suspend the Rules and Pass,National Small Business Regulatory Assistance Act,Passed,216,4,0,8,200,0,0,5,1,0,0,0,417,4,0,13
117,R,108,H RES 179,8-Apr-2003,5:40 PM,On Motion to Suspend the Rules and Agree,Stating the sense of the House of Representatives regarding the systematic human rights violations in Cuba committed by the Castro regime; calling for the immediate release of all political prisoners and supporting free elections for Cuba,Passed,223,0,1,4,190,0,10,5,1,0,0,0,414,0,11,9
118,R,108,H R 1584,8-Apr-2003,5:49 PM,"On Motion to Suspend the Rules and Pass, as Amended",Clean Diamond Trade Act,Passed,219,2,0,7,199,0,1,5,1,0,0,0,419,2,1,12
