Vote Number,Congress Num,Session,Legislation Number,Date,Question,Vote Title,Document Text,Result,Majority Requirement,Republican Yes,Republican No,Republican Present,Republican Absent,Democrat Yes,Democrat No,Democrat Present,Democrat Absent,Independent Yes,Independent No,Independent Present,Independent Absent,Total Yes,Total No,Total Present,Total Absent,Tie Breaker
260,111,2,H.Res. 1031,"December 8, 2010,  09:55 AM",On the Motion (Motion to Disaggregate the Articles of Impeachment Against Judge Thomas G. Porteous),Motion to Disaggregate the Articles of Impeachment Against Judge Thomas G. Porteous,"A resolution impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors.",Motion Rejected (0-94),'1/2',0,40,0,2,0,53,0,3,0,1,0,1,0,94,0,6,
261,111,2,H.Res. 1031,"December 8, 2010,  10:13 AM",Guilty or Not Guilty H.Res. 1031,"Article I, Articles of Impeachment v. Judge G. Thomas Porteous ","A resolution impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors.","Guilty (96-0, 2/3 majority required)",'2/3',40,0,0,2,54,0,0,2,2,0,0,0,96,0,0,4,
262,111,2,H.Res. 1031,"December 8, 2010,  10:26 AM",Guilty or Not Guilty H.Res. 1031,"Article II, Articles of Impeachment v. Judge G. Thomas Porteous","A resolution impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors.","Guilty (69-27, 2/3 majority required)",'2/3',23,17,0,2,45,9,0,2,1,1,0,0,69,27,0,4,
263,111,2,H.Res. 1031,"December 8, 2010,  10:40 AM",Guilty or Not Guilty H.Res. 1031,"Article III, Articles of Impeachment v. Judge G. Thomas Porteous","A resolution impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors.","Guilty (88-8, 2/3 majority required)",'2/3',38,2,0,2,49,5,0,2,1,1,0,0,88,8,0,4,
264,111,2,H.Res. 1031,"December 8, 2010,  10:55 AM",Guilty or Not Guilty H.Res. 1031,"Article IV, Articles of Impeachment v. Judge G. Thomas Porteous","A resolution impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors.","Guilty (90-6, 2/3 majority required)",'2/3',40,0,0,2,48,6,0,2,2,0,0,0,90,6,0,4,
265,111,2,H.Res. 1031,"December 8, 2010,  11:10 AM","On the Motion (Motion to Forever Disqualify G. Thomas Porteous, Jr. to Hold and Enjoy Any Office of Honor, Trust, or Profit Under the United States)","Motion to Forever Disqualify G. Thomas Porteous, Jr. to Hold and Enjoy Any Office of Honor, Trust, or Profit Under the United States","A resolution impeaching G. Thomas Porteous, Jr., judge of the United States District Court for the Eastern District of Louisiana, for high crimes and misdemeanors.",Motion Agreed to (94-2),'1/2',40,0,0,2,53,1,0,2,1,1,0,0,94,2,0,4,
266,111,2,S. 3991,"December 8, 2010,  04:17 PM",On Cloture on the Motion to Proceed S. 3991,Motion to Invoke Cloture on the Motion to Proceed to S. 3991,A bill to provide collective bargaining rights for public safety officers employed by States or their political subdivisions.,"Cloture on the Motion to Proceed Rejected (55-43, 3/5 majority required)",'3/5',0,40,0,2,53,3,0,0,2,0,0,0,55,43,0,2,
267,111,2,S. 3985,"December 8, 2010,  04:48 PM",On Cloture on the Motion to Proceed S. 3985,Motion to Invoke Cloture on the Motion to Proceed to S. 3985,"A bill to amend the Internal Revenue Code of 1986 to extend certain expiring provisions, and for other purposes.","Cloture on the Motion to Proceed Rejected (53-45, 3/5 majority required)",'3/5',0,40,0,2,52,4,0,0,1,1,0,0,53,45,0,2,
268,111,2,S. 3992,"December 9, 2010,  11:22 AM",On the Motion to Table S. 3992,Motion to Table the Motion to Proceed to S. 3992,A bill to authorize the cancellation of removal and adjustment of status of certain alien students who are long-term United States residents and who entered the United States as children and for other purposes.,Motion to Table Agreed to (59-40),'1/2',5,36,0,1,52,4,0,0,2,0,0,0,59,40,0,1,
269,111,2,H.R. 847,"December 9, 2010,  11:50 AM",On Cloture on the Motion to Proceed H.R. 847,Motion to Invoke Cloture on the Motion to Proceed to H.R. 847,"A bill to amend the Public Health Service Act to extend and improve protections and services to individuals directly impacted by the terrorist attack in New York City on September 11, 2001, and for other purposes.","Cloture on the Motion to Proceed Rejected (57-42, 3/5 majority required)",'3/5',0,41,0,1,55,1,0,0,2,0,0,0,57,42,0,1,
270,111,2,S. 3454,"December 9, 2010,  03:33 PM",On Cloture on the Motion to Proceed S. 3454,"Upon Reconsideration, Motion to Invoke Cloture on the Motion to Proceed to S. 3454","An original bill to authorize appropriations for fiscal year 2011 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","Cloture on the Motion to Proceed Rejected (57-40, 3/5 majority required)",'3/5',1,39,0,2,54,1,0,1,2,0,0,0,57,40,0,3,
271,111,2,H.R. 4853,"December 9, 2010,  07:31 PM",On the Motion to Table H.R. 4853,Motion to Table the Motion to Refer the House Message on H.R. 4853 to the Committee on Finance,"A bill to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, to amend title 49, United States Code, to extend authorizations for the airport improvement program, and for other purposes.",Motion to Table Agreed to (65-11),'1/2',26,3,0,13,38,7,0,11,1,1,0,0,65,11,0,24,
272,111,2,H.R. 4853,"December 13, 2010,  03:01 PM",On the Cloture Motion H.R. 4853,Motion to Invoke Cloture on the Motion to Concur in the House Amdt. to Senate Amdt. with Amdt. No. 4753,"A bill to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, to amend title 49, United States Code, to extend authorizations for the airport improvement program, and for other purposes.","Cloture Motion Agreed to (83-15, 3/5 majority required)",'3/5',37,5,0,0,45,9,0,2,1,1,0,0,83,15,0,2,
273,111,2,H.R. 4853,"December 15, 2010,  12:00 PM",On the Motion (Motion to Suspend Rule XXII Re: Coburn Amdt. No. 4765),Motion to Suspend Rule XXII Re: Coburn Amdt. No. 4765,"A bill to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, to amend title 49, United States Code, to extend authorizations for the airport improvement program, and for other purposes.","Motion Rejected (47-52, 2/3 majority required)",'2/3',42,0,0,0,5,50,0,1,0,2,0,0,47,52,0,1,
274,111,2,H.R. 4853,"December 15, 2010,  12:24 PM",On the Motion (Motion to Suspend Rule XXII Re: DeMint Amdt. 4804),Motion to Suspend Rule XXII Re: DeMint Amdt. 4804,"A bill to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, to amend title 49, United States Code, to extend authorizations for the airport improvement program, and for other purposes.","Motion Rejected (37-63, 2/3 majority required)",'2/3',36,6,0,0,1,55,0,0,0,2,0,0,37,63,0,0,
275,111,2,H.R. 4853,"December 15, 2010,  12:42 PM",On the Motion (Motion to Suspend Rule XXII Re: Sanders Amdt. 4809),Motion to Suspend Rule XXII Re: Sanders Amdt. 4809,"A bill to amend the Internal Revenue Code of 1986 to extend the funding and expenditure authority of the Airport and Airway Trust Fund, to amend title 49, United States Code, to extend authorizations for the airport improvement program, and for other purposes.","Motion Rejected (43-57, 2/3 majority required)",'2/3',0,42,0,0,42,14,0,0,1,1,0,0,43,57,0,0,
